iter	RMSE
0	75179.83475
1	73099.85331
2	71277.40258
3	69333.2325
4	67503.75579
5	65670.0027
6	63998.38147
7	62315.1037
8	60844.98928
9	59515.30955
10	58163.56991
11	56893.34189
12	55552.02804
13	54351.5494
14	53223.15715
15	52080.9245
16	50947.83605
17	49910.72974
18	48977.63165
19	48003.01972
20	47050.38816
21	46106.3345
22	45297.28984
23	44498.3233
24	43710.99334
25	43023.55576
26	42250.45714
27	41536.62747
28	40830.16078
29	40129.59278
30	39490.87035
31	38897.9788
32	38378.99027
33	37846.61471
34	37364.68724
35	36808.08408
36	36333.06354
37	35894.86502
38	35402.6698
39	34957.46332
40	34553.60811
41	34154.10678
42	33794.13645
43	33423.85377
44	32982.07846
45	32613.93021
46	32206.23117
47	31864.6758
48	31516.44322
49	31184.52546
50	30826.69762
51	30520.7733
52	30254.08187
53	29936.05491
54	29676.0448
55	29404.55136
56	29162.62179
57	28895.44468
58	28647.58876
59	28424.59656
60	28205.55513
61	27978.84694
62	27776.31869
63	27566.91789
64	27339.51646
65	27111.47049
66	26948.48808
67	26744.64102
68	26521.38151
69	26323.45001
70	26162.2451
71	25990.4172
72	25790.6366
73	25648.40068
74	25492.19435
75	25336.79568
76	25182.39832
77	25034.7574
78	24892.85508
79	24757.7588
80	24599.634
81	24450.67137
82	24302.86818
83	24159.59149
84	24018.76917
85	23920.33844
86	23785.96688
87	23695.25248
88	23579.4173
89	23478.09273
90	23387.31996
91	23269.84084
92	23181.68609
93	23080.76578
94	22979.81254
95	22904.58058
96	22836.46313
97	22741.56802
98	22641.77117
99	22549.66885
100	22467.33662
101	22373.51188
102	22286.66039
103	22207.50443
104	22127.00175
105	22060.05185
106	22009.43773
107	21946.00265
108	21879.19041
109	21830.44898
110	21760.13689
111	21685.98257
112	21608.82994
113	21556.77996
114	21472.457
115	21418.68874
116	21347.99441
117	21286.72146
118	21226.85793
119	21179.0658
120	21113.91121
121	21068.64518
122	21000.4657
123	20951.40405
124	20879.03746
125	20832.67155
126	20775.43772
127	20716.10378
128	20666.60021
129	20613.31871
130	20558.90953
131	20504.69231
132	20451.03925
133	20400.16376
134	20346.20076
135	20302.68354
136	20245.25109
137	20196.95275
138	20150.13724
139	20081.81097
