iter	Passed	Remaining
0	16	1598
1	20	1020
2	24	803
3	30	734
4	35	665
5	39	613
6	44	587
7	49	563
8	53	538
9	58	528
10	62	509
11	67	493
12	72	485
13	78	481
14	83	470
15	88	464
16	92	453
17	97	442
18	103	441
19	108	435
20	113	426
21	118	420
22	122	411
23	128	406
24	135	407
25	140	399
26	145	392
27	150	387
28	155	380
29	159	373
30	166	369
31	170	363
32	175	355
33	179	349
34	184	342
35	189	336
36	193	329
37	198	323
38	202	316
39	207	310
40	211	304
41	216	299
42	221	292
43	225	287
44	230	281
45	234	275
46	239	269
47	243	263
48	248	258
49	252	252
50	257	247
51	261	241
52	266	236
53	271	231
54	276	225
55	281	221
56	286	215
57	290	210
58	297	206
59	302	201
60	307	196
61	314	192
62	320	188
63	327	184
64	332	178
65	337	173
66	341	168
67	346	162
68	350	157
69	354	152
70	359	146
71	363	141
72	368	136
73	372	131
74	377	125
75	381	120
76	387	115
77	391	110
78	396	105
79	401	100
80	406	95
81	411	90
82	418	85
83	423	80
84	428	75
85	434	70
86	438	65
87	445	60
88	449	55
89	454	50
90	459	45
91	463	40
92	468	35
93	472	30
94	476	25
95	481	20
96	486	15
97	491	10
98	496	5
99	506	0
