iter	RMSE
0	75734.21491
1	73765.85006
2	72018.88375
3	70328.82397
4	68651.41078
5	66901.1913
6	65364.66958
7	63751.08016
8	62327.90526
9	60874.06853
10	59433.07441
11	58057.92351
12	56925.7476
13	55812.64414
14	54647.80354
15	53703.44002
16	52656.20765
17	51655.5514
18	50682.98487
19	49888.69178
20	48904.94505
21	48045.64054
22	47196.64425
23	46430.15924
24	45621.08592
25	44825.96778
26	44083.43037
27	43277.76641
28	42613.80299
29	41959.19799
30	41342.59094
31	40750.54504
32	40189.03756
33	39612.69497
34	39074.04198
35	38556.24943
36	37986.8965
37	37492.47775
38	36991.31567
39	36549.97185
40	36083.59616
41	35682.8709
42	35168.2751
43	34796.19659
44	34382.74198
45	33995.55111
46	33636.41964
47	33252.34863
48	32890.34819
49	32554.54541
50	32232.58836
51	31901.67976
52	31525.2865
53	31250.41186
54	30929.68415
55	30585.37079
56	30317.45749
57	30017.83852
58	29685.51396
59	29375.59281
60	29094.28997
61	28853.34548
62	28608.02089
63	28346.5692
64	28139.48011
65	27928.53193
66	27673.02055
67	27464.15685
68	27236.16954
69	27041.3628
70	26816.58108
71	26664.16846
72	26463.43411
73	26290.67518
74	26086.84618
75	25938.351
76	25775.57624
77	25643.17546
78	25481.70342
79	25355.1888
80	25212.29729
81	25041.72291
82	24873.76125
83	24707.71677
84	24561.03967
85	24405.63181
86	24269.65938
87	24083.86143
88	23950.21444
89	23812.73941
90	23705.25198
91	23580.23269
92	23444.47141
93	23329.11195
94	23249.37666
95	23119.71299
96	23015.62881
97	22892.61496
98	22812.2192
99	22711.49035
100	22660.97101
101	22560.69313
102	22466.05078
103	22365.8983
104	22238.36169
105	22129.08051
106	22059.52479
107	21978.18805
108	21860.82359
109	21757.37467
110	21673.96688
111	21570.52871
112	21480.93443
113	21420.02816
114	21402.13815
115	21369.05574
116	21294.33658
117	21198.14984
118	21077.87985
119	21005.59433
120	20897.6792
121	20833.20089
122	20766.49247
123	20684.99639
124	20603.72072
125	20512.609
126	20476.68121
127	20389.135
128	20302.19841
129	20229.23063
130	20150.99474
131	20071.23402
132	20033.13053
133	19985.37218
134	19923.57342
135	19863.23539
136	19808.93431
137	19743.37841
138	19659.86302
139	19592.64232
140	19571.78252
