iter	Passed	Remaining
0	17	17387
1	37	18802
2	55	18531
3	72	18098
4	88	17628
5	103	17197
6	117	16729
7	131	16345
8	146	16179
9	163	16201
10	179	16128
11	194	16008
12	210	16014
13	226	15959
14	249	16414
15	278	17108
16	294	17038
17	310	16940
18	326	16839
19	343	16817
20	359	16763
21	374	16649
22	389	16558
23	402	16374
24	420	16409
25	437	16408
26	459	16563
27	475	16520
28	491	16467
29	506	16385
30	522	16317
31	538	16285
32	555	16267
33	570	16222
34	587	16193
35	602	16141
36	616	16044
37	633	16043
38	652	16083
39	672	16134
40	687	16076
41	702	16013
42	715	15934
43	729	15849
44	741	15729
45	757	15719
46	772	15661
47	788	15647
48	804	15605
49	818	15543
50	833	15506
51	850	15498
52	872	15593
53	887	15549
54	902	15513
55	917	15460
56	932	15423
57	947	15393
58	962	15356
59	981	15371
60	997	15348
61	1011	15302
62	1027	15277
63	1043	15255
64	1058	15225
65	1075	15217
66	1096	15270
67	1112	15247
68	1127	15209
69	1144	15205
70	1159	15176
71	1174	15139
72	1189	15104
73	1204	15069
74	1215	14991
75	1229	14945
76	1243	14908
77	1261	14913
78	1278	14907
79	1302	14983
80	1317	14952
81	1331	14907
82	1344	14849
83	1358	14813
84	1374	14801
85	1391	14783
86	1404	14743
87	1419	14715
88	1435	14690
89	1449	14656
90	1463	14622
91	1479	14602
92	1501	14641
93	1517	14625
94	1531	14590
95	1545	14556
96	1556	14494
97	1571	14466
98	1585	14431
99	1599	14397
100	1613	14360
101	1627	14327
102	1642	14307
103	1654	14251
104	1670	14241
105	1684	14202
106	1702	14208
107	1719	14202
108	1734	14180
109	1748	14150
110	1763	14126
111	1779	14112
112	1794	14082
113	1808	14054
114	1822	14026
115	1834	13980
116	1845	13929
117	1859	13900
118	1876	13889
119	1893	13883
120	1911	13889
121	1927	13873
122	1942	13847
123	1956	13825
124	1971	13802
125	1987	13783
126	2001	13757
127	2015	13729
128	2026	13684
129	2040	13655
130	2054	13628
131	2068	13602
132	2085	13593
133	2107	13619
134	2124	13613
135	2139	13594
136	2154	13572
137	2169	13548
138	2183	13524
139	2199	13509
140	2213	13485
141	2228	13465
142	2241	13431
143	2254	13398
144	2268	13374
145	2283	13354
146	2298	13335
147	2317	13340
148	2335	13339
149	2350	13318
150	2373	13344
151	2384	13302
152	2400	13289
153	2414	13263
154	2428	13238
155	2441	13211
156	2454	13178
157	2466	13142
