iter	RMSE
0	75326.10341
1	73030.18443
2	70981.35264
3	68760.37117
4	66717.82842
5	64748.12726
6	62828.59414
7	61342.84066
8	59530.91793
9	57675.93548
10	55992.45355
11	54235.57918
12	52600.46654
13	50908.71466
14	49409.61165
15	48105.49446
16	46791.84937
17	45466.58663
18	44283.45096
19	43019.67126
20	41878.70513
21	40846.48184
22	39922.45093
23	38843.35944
24	37677.39975
25	36695.7614
26	35902.68707
27	35032.25458
28	34063.72637
29	33051.4536
30	32279.06028
31	31457.34152
32	30623.63259
33	29904.6694
34	29026.12456
35	28302.14783
36	27676.62411
37	26988.6381
38	26349.15566
39	25762.24352
40	25070.06496
41	24418.83535
42	23824.46586
43	23215.46381
44	22672.63545
45	22184.77632
46	21634.29663
47	21139.52798
48	20630.91063
49	20154.32548
50	19635.25383
51	19224.55934
52	18850.66133
53	18487.46971
54	18161.6589
55	17732.4659
56	17309.29559
57	17000.71915
58	16601.71967
59	16262.25859
60	15895.03151
61	15614.45917
62	15249.33075
63	15035.68748
64	14735.46703
65	14457.70265
66	14144.39472
67	13874.87029
68	13586.27602
69	13350.31508
70	13130.19776
71	12905.14819
72	12697.51386
73	12436.29985
74	12211.68785
75	11979.11945
76	11786.85581
77	11599.49937
78	11414.72003
79	11245.28141
80	11053.362
81	10904.12062
82	10747.68665
83	10545.29345
84	10384.398
85	10260.95734
86	10084.31186
87	9933.584579
88	9771.689385
89	9603.348668
90	9537.300163
91	9402.769854
92	9312.944251
93	9169.292095
94	9026.729121
95	8975.808385
96	8921.432008
97	8799.006006
98	8757.408976
99	8670.13113
100	8616.83009
101	8576.358959
102	8451.870116
103	8337.886536
104	8293.722955
105	8177.521755
106	8090.237365
107	8007.513959
108	7915.174928
109	7851.148331
110	7747.343291
111	7711.414979
112	7652.459573
113	7587.31971
114	7552.988872
115	7504.123046
116	7463.385935
117	7360.110895
118	7319.612186
119	7263.694548
120	7235.013651
121	7200.970125
122	7115.573274
123	7047.404601
124	7016.658491
125	6930.787722
126	6902.145084
127	6805.162736
128	6753.852052
129	6698.885339
130	6615.628627
131	6589.084978
132	6565.4932
133	6524.185021
134	6500.965387
135	6428.54689
136	6409.43061
137	6381.463463
138	6348.435549
139	6326.734131
140	6248.707094
141	6227.75202
142	6159.669458
143	6074.970837
144	6037.287509
145	5972.902888
146	5947.117992
147	5877.044627
148	5849.9106
149	5815.618936
150	5785.749091
151	5764.209723
152	5749.3293
153	5679.690613
154	5652.609931
155	5600.039552
156	5575.05211
157	5541.461288
158	5520.900159
159	5501.667588
160	5473.702345
161	5456.162839
162	5390.426663
163	5340.358013
164	5290.50549
165	5274.132247
166	5259.532596
167	5241.481378
168	5193.359853
169	5134.816029
170	5079.159561
171	5058.780516
172	5044.085401
173	5009.013493
174	4967.854279
175	4953.373082
176	4937.261021
177	4888.437088
178	4840.559429
179	4824.421916
180	4765.957105
181	4754.835611
182	4740.836839
183	4717.484645
184	4701.897329
185	4687.758303
186	4632.24331
187	4589.205309
188	4576.120736
189	4532.105626
190	4517.620938
191	4506.738403
192	4491.962637
193	4477.820229
194	4465.14283
195	4457.517462
196	4447.197533
197	4398.220606
198	4388.361934
199	4378.301796
200	4370.188188
201	4359.394505
202	4351.953814
203	4308.48035
204	4266.045864
205	4256.514441
206	4247.586639
207	4204.99612
208	4170.523703
209	4120.657034
210	4079.450109
211	4068.339826
212	4060.69418
213	4049.996509
214	4035.158109
215	4027.059275
216	3985.306348
217	3975.549479
218	3941.66055
219	3934.218645
220	3926.073952
221	3916.79246
222	3908.367833
223	3873.721973
224	3865.803825
225	3827.750389
226	3789.893814
227	3781.786349
228	3773.736437
229	3736.618497
230	3729.384295
231	3702.355747
232	3675.75893
233	3669.643281
234	3633.967068
235	3626.761028
236	3620.371659
237	3597.134775
238	3590.417875
239	3582.971682
240	3552.195478
241	3546.662178
242	3540.822921
243	3507.373226
244	3501.262881
245	3495.928077
246	3489.873274
247	3466.909508
248	3460.927425
249	3432.45141
250	3426.963837
251	3421.203193
252	3415.98083
253	3389.505937
254	3384.209437
255	3359.868855
256	3333.989313
257	3329.41055
258	3324.277567
259	3297.335891
260	3279.929098
261	3254.508524
262	3250.337281
263	3246.144702
264	3241.334218
265	3223.370143
266	3219.626884
267	3193.336536
268	3189.541046
269	3165.330255
270	3142.590719
271	3138.101042
272	3135.009894
273	3112.716303
274	3095.352766
275	3073.533638
276	3058.098195
277	3039.435216
278	3036.336059
279	3032.682124
280	3016.809717
281	3013.67564
282	2991.908654
283	2972.245617
284	2955.223862
285	2942.059587
286	2925.878497
287	2911.282454
288	2898.606609
289	2883.83194
290	2879.810652
291	2870.027165
292	2858.979555
293	2856.506454
294	2853.457844
295	2843.19507
296	2840.668083
297	2830.965177
298	2820.581074
299	2817.938666
300	2810.219877
301	2808.183377
302	2792.203885
303	2789.564446
304	2787.42373
305	2785.19999
306	2768.121901
307	2765.867878
308	2751.37109
309	2740.989516
310	2738.941264
311	2737.207559
312	2722.915324
313	2709.249073
314	2693.876002
315	2691.505773
316	2674.74904
317	2657.776169
318	2655.627772
319	2644.797706
320	2643.099352
321	2641.526379
322	2623.666463
323	2608.119832
324	2594.041197
325	2580.558312
326	2579.174514
327	2565.484499
328	2556.820643
329	2547.456371
330	2535.003009
331	2523.361789
332	2511.116434
333	2499.072874
334	2490.104943
335	2488.315407
336	2477.841782
