iter	Passed	Remaining
0	19	1927
1	34	1670
2	48	1573
3	63	1529
4	77	1471
5	91	1427
6	104	1390
7	119	1372
8	133	1354
9	150	1352
10	160	1301
11	171	1260
12	182	1220
13	192	1185
14	203	1152
15	214	1124
16	226	1104
17	243	1109
18	260	1111
19	277	1108
20	293	1103
21	310	1101
22	327	1095
23	339	1076
24	351	1055
25	362	1032
26	373	1009
27	384	988
28	395	968
29	406	948
30	419	934
31	434	923
32	448	911
33	462	898
34	476	885
35	490	871
36	504	859
37	518	846
38	533	834
39	547	821
40	562	809
41	576	796
42	590	782
43	605	770
44	619	757
45	635	745
46	648	730
47	658	713
48	669	696
49	679	679
50	690	663
51	700	646
52	712	632
53	730	621
54	746	611
55	763	599
56	780	588
57	796	577
58	814	565
59	826	551
60	837	535
61	850	521
62	861	505
63	871	490
64	882	475
65	893	460
66	904	445
67	917	431
68	932	418
69	946	405
70	959	391
71	972	378
72	985	364
73	998	350
74	1012	337
75	1026	324
76	1041	311
77	1056	298
78	1070	284
79	1083	270
80	1096	257
81	1110	243
82	1124	230
83	1139	217
84	1155	203
85	1173	191
86	1181	176
87	1196	163
88	1211	149
89	1230	136
90	1244	123
91	1256	109
92	1269	95
93	1279	81
94	1291	67
95	1301	54
96	1312	40
97	1322	26
98	1333	13
99	1346	0
